08:48:20.791 -> Enter current location (##): 7
08:48:22.366 -> Enter current direction: WEST
08:48:23.875 -> Enter a destination: 2
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 North -> 1 North -> NA
08:48:26.442 -> Result: 7 West -> 0 North -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 South -> 2 South -> NA
08:48:26.442 -> Result: 7 West -> 0 South -> 2 South -> NA
08:48:26.442 -> MOVING West Turning West
08:48:26.442 -> Setting turn
08:48:26.442 -> Setting speed
08:48:26.442 -> Set Speeed
08:51:44.632 -> Enter a destination: 2
08:51:46.259 -> 1 North -> NA
08:51:46.259 -> 2 South -> NA
08:51:46.259 -> 1 North -> NA
08:51:46.259 -> Before Copy: 7 West -> 0 Other -> NA
08:51:46.259 -> Copy: 0 North -> 1 North -> NA
08:51:46.259 -> Result: 7 West -> 0 North -> 1 North -> NA
08:51:46.259 -> 2 South -> NA
08:51:46.259 -> Before Copy: 7 West -> 0 Other -> NA
08:51:46.259 -> Copy: 0 South -> 2 South -> NA
08:51:46.259 -> Result: 7 West -> 0 South -> 2 South -> NA
08:51:46.259 -> MOVING West Turning West
08:51:46.259 -> Setting turn
08:51:46.259 -> Setting speed
08:51:46.259 -> Set Speeed
08:51:46.542 -> Front: 2238   |   RIGHT OFFSET: 0
08:51:46.812 -> Front: 2366   |   RIGHT OFFSET: -1
08:51:47.099 -> Front: 2501   |   RIGHT OFFSET: -2
08:51:47.369 -> Front: 2573   |   RIGHT OFFSET: -30
08:51:47.632 -> Front: 2659   |   RIGHT OFFSET: -10
08:51:47.938 -> Front: 2576   |   RIGHT OFFSET: -9
08:51:48.209 -> Front: 2234   |   RIGHT OFFSET: 6
08:51:48.500 -> Front: 2036   |   RIGHT OFFSET: -30
08:51:48.767 -> Front: 1798   |   RIGHT OFFSET: -9
08:51:49.066 -> Front: 1578   |   RIGHT OFFSET: -5
08:51:49.330 -> Front: 1427   |   RIGHT OFFSET: -1
08:51:49.620 -> Front: 1312   |   RIGHT OFFSET: 3
08:51:49.888 -> Front: 1273   |   RIGHT OFFSET: 7
08:51:50.155 -> Front: 1381   |   RIGHT OFFSET: 7
08:51:50.438 -> Front: 1461   |   RIGHT OFFSET: 7
08:51:50.737 -> Front: 1542   |   RIGHT OFFSET: 7
08:51:51.034 -> Front: 1504   |   RIGHT OFFSET: 11
08:51:51.320 -> Front: 1692   |   RIGHT OFFSET: 11
08:51:51.565 -> Front: 1935   |   RIGHT OFFSET: 11
08:51:51.841 -> Front: 2224   |   RIGHT OFFSET: -3
08:51:52.155 -> Front: 2415   |   RIGHT OFFSET: -4
